"#","Schedule Due","Kode SL","Snfg","Nama Fg","Jumlah Pcs","Qty Release","Qty Not Hit","Type","Remark","Level 1","Level 2","Level 3","Actions"
"31","2022-06-29","vk1 ","TC-RE04-W/H0013","Wardah Exclusive Two Way Cake 04 Natural 12 g","7500","7336","164","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"32","2022-06-29","ang1 ","FW-PBCFLS100-W/H0022","Wardah Perfect Bright Creamy Foam Brightening + Smoothing 100 ml (Pc(s))","28860","28680","180","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"33","2022-06-29","qv1 ","FW-BSACNE-EM/H0025","Emina Bright Stuff for Acne Prone Skin Face Wash 100 ml","28220","27940","280","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"34","2022-06-29","zs1 ","L-CVM011-W/H0014","Wardah Colorfit Velvet Matte Lip Mousse 11 Cherish Marmalade 4 g","3192","3072","120","NI","(not set)","(not set)","(not set)","(not set)",""
"35","2022-06-29","TY1 ","S-P1A2-P450/H0007","Putri Pure Clean Shampoo Apple 450 ML (Pc(s))","2179","2100","79","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"36","2022-06-29","UC1 ","L-IPMMS03-W3.5G/H0007","Wardah Instaperfect MATTETITUDE Matte Stain Lipstick 03. FEMME 3.5 g","792","657","135","NI","(not set)","(not set)","(not set)","(not set)",""
"37","2022-06-28","aev1 ","MY-LSMULGB-EM/H0003","Malaysia Emina Squeeze Me Up Lip Glass 02. Stargaze 6.5 g","1968","1944","24","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"38","2022-06-28","vo4 ","TC-RRE03-W/H0026","Wardah Refill Exclusive Two Way Cake 03 Sandy Beige 12 g","7425","7205","220","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"39","2022-06-28","vo5 ","TC-RRE03-W/H0027","Wardah Refill Exclusive Two Way Cake 03 Sandy Beige 12 g","7425","7220","205","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"40","2022-06-28","UZ1 ","L-CSGC104-MO/H0005","MAKE OVER Color Stick Gloss Crayon 104 Chloe 3 g","180","158","22","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"41","2022-06-28","eq2 ","MY-RTCRE05-W/H0003","Malaysia Wardah Exclusive Two Way Cake 05 Coffee Beige 12 g","750","660","90","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"42","2022-06-28","dv1 ","L-LL09-W2.3G/H0023","Wardah Lipstick Longlasting 09 Vibrant Red 2.3 g (Pc(s))","1752","1726","26","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"43","2022-06-28","vo6 ","TC-RRE03-W/H0028","Wardah Refill Exclusive Two Way Cake 03 Sandy Beige 12 g","7425","7206","219","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"44","2022-06-28","nx1 ","L-GS05-EM/BSH0003","Emina Glossy Stain 05 Spring Dazzle 3 g","5472","5088","384","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"45","2022-06-28","GH1 ","LU-P1-P720/H0022","Putri Pustreite Step 1 720 ML (Pc(s))","230","228","2","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"46","2022-06-28","zp1 ","L-CVM013-W/H0017","Wardah Colorfit Velvet Matte Lip Mousse 13 Sweet Cinnamon 4 g","3192","3075","117","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"47","2022-06-28","yc1 ","L-CUM03-W/H0005","Wardah Colorfit Ultralight Matte Lipstick 03 Caramel Nude 3.6 g","4752","4679","73","NI","Bulk habis","Loss MPQ","Bulk habis","Select Kendala",""
"48","2022-06-28","ADV3 ","FW-FW01-KA/H0057","Kahf Gentle Exfoliating Face Scrub 100 ml","9120","9000","120","NI","BULK HABIS","Loss MPQ","Bulk habis","Netto overfill",""
"49","2022-06-28","alr1 ","L-EMC16-W4GR/H0005","Wardah Exclusive Matte Lip Cream 16 Heartbeet 4 gr (Pc(s))","18432","18307","125","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"50","2022-06-28","pi1 ","L-LL17-W2.3G/H0018","Wardah Lipstick Longlasting 17 Passionate Red 2.3 g","1752","1737","15","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"51","2022-06-28","yk1 ","B-HRFP-MO/H0004","MAKE OVER Hydrastay Radiant Finishing Powder 8 gr","4572","4461","111","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"52","2022-06-28","ud1 ","PRM-PR-EM20ML/H0017","Emina Pore Ranger 20 ml (Pc(s))","3708","3672","36","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"53","2022-06-28","wy1 ","L-CVM06-W/H0007","Wardah Colorfit Velvet Matte Lip Mousse 06 Fuchsia Lover 4 g","3192","3119","73","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"54","2022-06-28","xg3 ","F-PTCMCW33-MO/H0010","MAKE OVER Powerstay Total Cover Matte Cream Foundation W33 Honey Beige 12 g","216","","216","NH,NI","(not set)","(not set)","(not set)","(not set)",""
"55","2022-06-28","abg2 ","L-CUMKORE-W/H0014","Wardah Colorfit Ultralight Matte Lipstick 13 Upbeat Hongdae 3.6 g","4752","4543","209","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"56","2022-06-28","jr1 ","FW-PCSRB-KA/H0075","Kahf Skin Energizing and Brightening Face Wash 100 ml","9360","8781","579","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"57","2022-06-28","BQ1 ","B-PT02-MO35G/H0023","MAKE OVER Silky Smooth Translucent Powder 02 Rosy 35 g (Pc(s))","2686","2685","1","NI","Di close kaena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"58","2022-06-28","ABE1 ","MY-RAPRT-W/H0006","Malaysia Wardah Acnederm Pore Refining Toner 100 ml","7900","7660","240","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"59","2022-06-28","ADV2 ","FW-FW01-KA/H0056","Kahf Gentle Exfoliating Face Scrub 100 ml","9120","9015","105","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"60","2022-06-28","afk1 ","MY-RREMSCMWN2-W/H0004","Malaysia Wardah Nature Daily Seaweed Cleansing Micellar Water 240 ml","4010","3968","42","NI","(not set)","(not set)","(not set)","(not set)",""
"61","2022-06-28","ZQ2 ","FW-LWFN2-W/H0059","Wardah Lightening Whip Facial Foam 100 ml","9520","","9520","NI","(not set)","(not set)","(not set)","(not set)",""
"62","2022-06-28","jr2 ","FW-PCSRB-KA/H0076","Kahf Skin Energizing and Brightening Face Wash 100 ml","9360","9011","349","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"63","2022-06-28","RF1 ","ES-PRPGI-EM3.3GR/BSH0009","Emina Pop Rouge Pressed Eye Shadow Gelato 3.3 gr (Pc(s))","270","269","1","NI","(not set)","(not set)","(not set)","(not set)",""
"64","2022-06-28","zd2 ","REM-LOIMWN2-W/H0015","Wardah Lightening Oil-Infused Micellar Water 100 ml","11200","11032","168","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
