"#","Schedule Due","Kode SL","Snfg","Nama Fg","Jumlah Pcs","Qty Release","Qty Not Hit","Type","Remark","Level 1","Level 2","Level 3","Actions"
"29","2022-06-22","YM2 ","L-CHC06-MO/H0008","MAKE OVER Color Hypnose Creamy Lipmatte 06 Kiss 4.3 g","528","517","11","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"30","2022-06-22","qt1 ","REM-PBTUMW-W/H0035","Wardah Perfect Bright Tone Up Micellar Water 100 ml","9520","9464","56","NI","(not set)","(not set)","(not set)","(not set)",""
"31","2022-06-22","de2 ","FS-RLN2-W/H0025","Wardah Lightening Gentle Exfoliator 50 ml","18847","18600","247","NH,NI","EFEK DOMINO JADWAL SEBELUMNYA DAN BULK HABIS","Quality","Bulk Pending / Rework / Reject","Kualitas Bulk Bermasalah",""
"32","2022-06-22","AX1 ","L-MLCL-OMG/H0034","OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet 3.5 g","53160","37440","15720","NH","(not set)","(not set)","(not set)","(not set)",""
"33","2022-06-22","vr15 ","B-BSLP-EM/H0162","Emina Bright Stuff Loose Powder 55 g","2196","2185","11","NI","Di close karena beda data stok FG","Loss MPQ","Miss Planning","Beda Data Stock",""
"34","2022-06-22","hb1 ","CB-P1K-P720/H0001","Putri Natural Creambath Candlenut 720 ML (Pc(s))","396","276","120","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"35","2022-06-22","abg1 ","L-CUMKORE-W/H0013","Wardah Colorfit Ultralight Matte Lipstick 13 Upbeat Hongdae 3.6 g","4752","4688","64","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"36","2022-06-22","CI1 ","L-SLWCE-W/H0005","Wardah Colorfit Last All Day Lip Paint 08 Red Repeat 4.2 g","18000","14256","3744","NH","Efek domino dari jadwal sebelumnya","Machine","Select Kendala","Select Kendala",""
"37","2022-06-22","PY1 ","M-RWSDCN2-W/H0008","Wardah Crystal Secret Brightening Day Cream 30 g","31858","30554","1304","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"38","2022-06-22","qa2 ","FW-AH-W60ML/H0011","Wardah Nature Daily Aloe Hydramild Facial Wash 60 ml","15485","5040","10445","NH,NI","(not set)","(not set)","(not set)","(not set)",""
"39","2022-06-22","qa1 ","FW-AH-W60ML/H0010","Wardah Nature Daily Aloe Hydramild Facial Wash 60 ml","15485","15485","","NH","MESIN DOWN","Machine","Mesin Down","Mechanical",""
"40","2022-06-22","bi4 ","FW-PCSAC-KA/H0073","Kahf Oil and Acne Care Face Wash 100 ml","9508","9000","508","NH,NI","(not set)","(not set)","(not set)","(not set)",""
"41","2022-06-22","lm1 ","L-EMC12-W4GR/H0010","Wardah Exclusive Matte Lip Cream 12 Plum It Up 4 gr (Pc(s))","10368","9614","754","NH,NI","Efek domino dari jadwal sebelumnya","Leadtime","Leadtime &gt; Standard","Select Kendala",""
"42","2022-06-22","lm1 ","HBL-AVG-EM/H0008","Emina Aloe Vera Gel 60 ml","3031","2988","43","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"43","2022-06-22","ta1 ","PRM-VCPM-MO20ML/H0014","MAKE OVER Velvet Mattifying Primer 20 ml","3392","3300","92","NI","BULK HABIS ","Loss MPQ","Bulk habis","Hilang karena proses",""
"44","2022-06-22","aiu1 ","MY-UVSAFE-W/H0010","Malaysia Wardah UV Shield Aqua Fresh Essence SPF 50 30 ml","30520","30464","56","NI","(not set)","(not set)","(not set)","(not set)",""
"45","2022-06-22","LB1 ","FW-BSN2-EM/H0029","Emina Bright Stuff Face Wash 100 ml","29848","29720","128","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"46","2022-06-21","PU1 ","M-LDCN2-W/H0023","Wardah Lightening Day Cream Advanced Niacinamide 30 g","30957","30744","213","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"47","2022-06-21","ABD1 ","MY-FTLFT-W/H0026","Malaysia Wardah Lightening Face Toner 125 ml","23640","23040","600","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"48","2022-06-21","AEH1 ","L-EMC13DP-W/H0001","Wardah Exclusive Matte Lip Cream 13 Fruit Punch 4g","46080","46080","","NH","efek domino dari sebelumnya","Machine","Mesin Down","Select Kendala",""
"49","2022-06-21","ky1 ","HBW-HWN2-BD/H0006","Biodef Natural Protection Mint + Green Tea Hand Wash Antiseptik Alami Botol 250 ml","3708","3576","132","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"50","2022-06-21","WA1 ","L-REMO32-W/H0004","Wardah Exclusive Moist Lipstick 32 Sheer Brown 3.5 g","4704","4618","86","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"51","2022-06-21","UO1 ","EB-IPB3M02-W5.5G/H0004","Wardah Instaperfect BROWFESSIONAL 3D Brow Mascara 02. DEEP GREY 5.5 g","2456","","2456","NH,NI","Efek domino dari jadwal sebelumnya karena jalan small batch","Leadtime","Leadtime &gt; Standard","Select Kendala",""
"52","2022-06-21","HZ1 ","MASK-EEPC-W7GR/H0007","Wardah EyeXpert Perfectcurl Mascara 7 gr (Pc(s))","27072","26664","408","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"53","2022-06-21","QX1 ","SS-SB45-EM/H0005","Emina Sun Battle SPF 45 PA+++ 30 ml","31222","31065","157","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"54","2022-06-21","HA1 ","B-DMCP01-EM/H0013","Emina Daily Matte Compact Powder 01 Light 11 g","4968","4815","153","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"55","2022-06-21","fu1 ","REM-RBSMWN1-EM/H0027","Emina Bright Stuff Micellar Water 100 ml","9703","9072","631","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"56","2022-06-21","pt1 ","CM-LCC-W/H0035","Wardah Lightening Cleansing Milk 100 ml","9170","9170","","NH","(not set)","(not set)","(not set)","(not set)",""
"57","2022-06-21","ip1 ","FW-FWN2VC-OMG/H0010","OMG Oh My Glow Peach Glowing Face Wash 50 g","18973","18973","","NH","MENUNGGU BULK","Quality","Bulk Pending / Rework / Reject","Kualitas Bulk Bermasalah",""
"58","2022-06-21","SB2 ","TC-RR3LLF03-W/H0027","Wardah Refill Lightening Powder Foundation Light Feel 03 Sheer Pink 12 g","27360","26703","657","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"59","2022-06-21","VI3 ","TC-RE02-W/H0015","Wardah Exclusive Two Way Cake 02 Light Beige 12 g","4350","4330","20","NI","Di closekarena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"60","2022-06-21","iy1 ","FW-BSW-EM/H0016","Emina Bright Stuff Whip Face Wash 50 ml","18449","18100","349","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"61","2022-06-21","VN1 ","TC-RRE02-W/H0017","Wardah Refill Exclusive Two Way Cake 02 Light Beige 12 g","7425","7226","199","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"62","2022-06-21","WV6 ","FT-LFT-W/H0053","Wardah Lightening Face Toner 125 ml","23640","22224","1416","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"63","2022-06-21","ZQ1 ","L-CVM010-W/H0007","Wardah Colorfit Velvet Matte Lip Mousse 10 Lively Coral 4 g","20448","19968","480","NH,NI","efek domino dari jadwal sebelumnya karena mesin segel tidak panas","Machine","Select Kendala","Electrical",""
"64","2022-06-21","WX1 ","L-CVM05-W/H0012","Wardah Colorfit Velvet Matte Lip Mousse 05 Artisan Mauve 4 g","10224","10169","55","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"65","2022-06-21","qh1 ","FW-SB-W60ML/H0007","Wardah Nature Daily Seaweed Balancing Facial Wash 60 ml","15444","15444","","NH","Mesin Down","Machine","Mesin Down","Mechanical",""
"66","2022-06-21","dm1 ","FM-MCC-W60ML/H0015","Wardah Nature Daily Mineral+ Clarifying Clay Mask 60 ml","13608","13212","396","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"67","2022-06-21","QG1 ","EB-EK-W3G/H0009","Wardah EyeXpert Eyebrow Kit 3 g (Pc(s))","3996","3264","732","NH,NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"68","2022-06-21","AFM1 ","F-EVLLF03-W/H0005","Wardah Everyday Luminous Liquid Foundation – 03 Beige 35 ml","26136","24732","1404","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"69","2022-06-21","LR1 ","EB-DMCC-MO/H0002","MAKE OVER Powerstay Brow Definer Mascara 03 Coffee Cream 6.5 g","3600","3456","144","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"70","2022-06-21","KD1 ","PRM-PCCLC-MO/H0002","MAKE OVER POWERSTAY Color Correcting Primer Lilac 25 ml","6660","6600","60","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"71","2022-06-21","VN2 ","L-REMO26-W/H0006","Wardah Exclusive Moist Lipstick 26 Mango 3.5 g","9672","9262","410","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"72","2022-06-21","avu1 ","S-A1SEC-W/H0010","Wardah Anti Dandruff Shampoo 170 ml","16651","16320","331","NH,NI","bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"73","2022-06-21","bi3 ","FW-PCSAC-KA/H0072","Kahf Oil and Acne Care Face Wash 100 ml","9508","8865","643","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"74","2022-06-21","UN1 ","EB-IPB3M01-W5.5G/H0004","Wardah Instaperfect BROWFESSIONAL 3D Brow Mascara 01. BROWN 5.5 g","2456","2424","32","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"75","2022-06-21","VN2 ","TC-RRE02-W/H0018","Wardah Refill Exclusive Two Way Cake 02 Light Beige 12 g","7425","7162","263","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
