"Internal Reference","Korporat Code","Name","Last Updated on","General State","Copackaging Routing Type/Display Name","MPS Lead Time","Ppc State"
"BOTP-SEC240-IX","BOTP-SEC240-IX","Botol Print SPA Eaux-prience Conditioner 240 ml IX","2022-06-05 13:15:43","Confirmed","","5","Confirmed"
"BOTP-SES240-IX","BOTP-SES240-IX","Botol Print SPA Eaux-prience Shampoo  240 ml IX","2022-06-05 13:16:05","Confirmed","","5","Confirmed"
"BOTP-SES750-IX","BOTP-SES750-IX","Botol Print SPA Eaux-prience Shampoo  750 ml IX","2022-06-05 13:16:17","Confirmed","","5","Confirmed"
"BOTP-SL200N_L-P","BOTP-SL200N_L-P","Botol Print Setting Lotion 200 ml Putri","2022-06-05 13:16:43","Confirmed","","5","Confirmed"
"BOTP-SLREV1200-P","BOTP-SLREV1200-P","Botol Print Setting Lotion Rev-1  200 ml Putri","2022-06-05 13:17:04","Confirmed","","5","Confirmed"
"BOTP-SC-P450","BOTP-SC-P450","Botol Print Settress Concentrate 450 ML Elm. putri","2022-06-05 13:17:16","Confirmed","","5","Confirmed"
"BOTP-SA2-P450","BOTP-SA2-P450","Botol Print Shampoo Apple 450 ml Elm. putri","2022-06-05 13:18:02","Confirmed","","5","Confirmed"
"BOTP-SGIN-P200","BOTP-SGIN-P200","Botol Print Shampoo Ginseng 200 ml Elm. putri","2022-06-05 13:18:59","Confirmed","","5","Confirmed"
"BOTP-SG200N_L-P","BOTP-SG200N_L-P","Botol Print Shampoo Ginseng 200 ml Putri","2022-06-05 13:19:10","Confirmed","","5","Confirmed"
"BOTP-SGIN200REV-P","BOTP-SGIN200REV-P","Botol Print Shampoo Ginseng Rev-1 200 ml Putri","2022-06-05 13:19:20","Confirmed","","5","Confirmed"
"BOTP-SHER-P200","BOTP-SHER-P200","Botol Print Shampoo Herbal 200 ML Elm. putri","2022-06-05 13:19:33","Confirmed","","5","Confirmed"
"BOTP-PCSSLR1450-P","BOTP-PCSSLR1450-P","Botol Print Shampoo Lavender 450 ml Rev-1 Putri","2022-06-05 13:19:57","Confirmed","","5","Confirmed"
"BOTP-SSPAELK-P200","BOTP-SSPAELK-P200","Botol Print Shampoo SPA Energizing Lemon Kuning Putri 200 m","2022-06-05 13:21:28","Confirmed","","5","Confirmed"
"BOTP-SSPAL2450N-P","BOTP-SSPAL2450N-P","Botol Print Shampoo Spa Lemon Putri 450 ml","2022-06-05 13:22:29","Confirmed","","5","Confirmed"
"BOTP-SSPARLAV-P200D","BOTP-SSPARLAV-P200D","Botol Print Shampoo Spa Relaxing Lavender Ungu Putri 200 ml","2022-06-05 13:22:42","Confirmed","","5","Confirmed"
"BOTP-SGLREV1200-P","BOTP-SGLREV1200-P","Botol Print Styling Glaze Rev-1  200 ml Putri","2022-06-05 13:23:29","Confirmed","","5","Confirmed"
"BOTP-PTCC240-IX","BOTP-PTCC240-IX","Botol Print Timeless Care Conditioner 240 ml IX","2022-06-05 13:23:54","Confirmed","","5","Confirmed"
"BOTP-PTCRS240-IX","BOTP-PTCRS240-IX","Botol Print Timeless Care Rescue Spray 240 ml IX","2022-06-05 13:24:04","Confirmed","","5","Confirmed"
"BOTP-PTCS240-IX","BOTP-PTCS240-IX","Botol Print Timeless care shampoo 240 ml IX","2022-06-05 13:24:16","Confirmed","","5","Confirmed"
"BOTP-HTSL200REV-P","BOTP-HTSL200REV-P","Botol Printing Hair Tonic Spa Lavender 200 ml Rev- Putri (Pc(s))","2022-06-05 13:27:21","Confirmed","","5","Confirmed"
"BOTP-HT-W200","BOTP-HT-W200","Botol Printing Hair Tonic Wardah 200 ml (Pc(s))","2022-06-05 13:27:31","Confirmed","","5","Confirmed"
"BOTP-PSFSCMBS30-T","BOTP-PSFSCMBS30-T","Botol Printing PS Final Squalane Ceramide Moisture Boost Serum 30 T","2022-06-30 08:56:23","Confirmed","","3","Confirmed"
"BOTP-PCSHL450RE-P","BOTP-PCSHL450RE-P","Botol Printing Pure Clean Shampoo Lemon 450 ml Rev Putri (Pc(s))","2022-06-05 13:28:33","Confirmed","","5","Confirmed"
"BOTP-PCSHSPALER-P","BOTP-PCSHSPALER-P","Botol Printing Pure Clean Shampoo SPA Lemon Rev-1 Putri (Pc(s))","2022-06-05 13:28:37","Confirmed","","5","Confirmed"
