"SNFG","Reference","Product","Sediaan","Scheduled Start Date","Scheduled Finished Date","Operation Type","Manufacturing Order","State","Streamline","Unit of Measure"
"ES-PRPNS-EM3.3GR/G0016","ES-PRPNS-EM3.3GR/G0016","[ES-PRPNS-EM3.3GR] Emina Pop Rouge Pressed Eye Shadow Nude 3.3 gr (Pc(s))","P","2021-06-10","2021-06-11","PTI: Jatake 1 - Kemas","MO/210020788","Confirmed","B","Pc(s)"
"ES-PRPNS-EM3.3GR/G0017","ES-PRPNS-EM3.3GR/G0017","[ES-PRPNS-EM3.3GR] Emina Pop Rouge Pressed Eye Shadow Nude 3.3 gr (Pc(s))","P","2021-06-10","2021-06-11","PTI: Jatake 1 - Kemas","MO/210020789","Confirmed","B","Pc(s)"
"HBW-RHB-KA/G0007","HBW-RHB-KA/G0007","[HBW-RHB-KA] Kahf Relaxing Hair and Body Wash 200 ml","L","2021-06-10","2021-06-14","PTI: Jatake 2 - Kemas","MO/210023408","Confirmed","C","Pc(s)"
"FT-LFT-W/BSG0002","FT-LFT-W/BSG0002","[FT-LFT-W] Wardah Lightening Face Toner 125 ml","L","2021-06-15","2021-06-16","PTI: Jatake 2 - Kemas","MO/210021125","Confirmed","C","Pc(s)"
"L-IM11-W2.3G/G0006","L-IM11-W2.3G/G0006","[L-IM11-W2.3G] Wardah Intense Matte Lipstick 11 Choco Town 2.3 g (Pc(s))","S","2021-06-11","2021-06-11","PTI: Jatake 1 - Kemas","MO/210021169","Confirmed","A","Pc(s)"
"ES-PRPRP-EM3.3GR/G0006","ES-PRPRP-EM3.3GR/G0006","[ES-PRPRP-EM3.3GR] Emina Pop Rouge Pressed Eye Shadow Romantic 3.3 gr (Pc(s))","P","2021-06-18","2021-06-18","PTI: Jatake 1 - Kemas","MO/210021910","Confirmed","B","Pc(s)"
"ES-PRPCB-EM3.3GR/G0002","ES-PRPCB-EM3.3GR/G0002","[ES-PRPCB-EM3.3GR] Emina Pop Rouge Pressed Eye Shadow Colorful 3.3 gr (Pc(s))","P","2021-06-18","2021-06-19","PTI: Jatake 1 - Kemas","MO/210021911","Confirmed","B","Pc(s)"
"ES-TN-MO6G/G0005","ES-TN-MO6G/G0005/03/01","[ES-SGC12GRNFS-MO] Eye Shadow Shiny Glam Copper 2gr Refill Not for Sa Make Over (Pc(s))","P","2021-06-22","2021-06-24","PTI: Jatake 1 - Press","MO/210022833","Confirmed","B","Pc(s)"
"MY-LGS05-EM/G0002","MY-LGS05-EM/G0002","[MY-LGS05-EM] Malaysia Emina Glossy Stain 05 Spring Dazzle 3 g","J6","2021-06-23","2021-06-23","PTI: Jatake 6 - Kemas","MO/210023170","Confirmed","SL","Pc(s)"
"MY-FWBSW-EM/G0002","MY-FWBSW-EM/G0002","[MY-FWBSW-EM] Malaysia Emina Bright Stuff Whip Face Wash 50 ml","J6","2021-06-23","2021-06-23","PTI: Jatake 6 - Kemas","MO/210023172","Confirmed","SL","Pc(s)"
"MY-UVSAFE-W/G0008","MY-UVSAFE-W/G0008","[MY-UVSAFE-W] Malaysia Wardah UV Shield Aqua Fresh Essence SPF 50 30 ml","J6","2021-06-23","2021-06-23","PTI: Jatake 6 - Kemas","MO/210023173","Confirmed","SL","Pc(s)"
"MY-LIPEI01-W/G0004","MY-LIPEI01-W/G0004","[MY-LIPEI01-W] Malaysia Wardah Instaperfect Everlast Intense Matte Liquid 01 EXCEPTIONAL 4.2 g","J6","2021-06-23","2021-06-23","PTI: Jatake 6 - Kemas","MO/210023175","Confirmed","SL","Pc(s)"
"TC-PC04-MO12G/G0022","TC-PC04-MO12G/G0022","[TC-PC04-MO12G] MAKE OVER Perfect Cover TWC 04 Desert 12 g (pc(s))","P","2021-07-06","2021-07-07","PTI: Jatake 1 - Kemas","MO/210023764","Confirmed","A","Pc(s)"
"ES-W1B-W3,3GR/G0009","ES-W1B-W3,3GR/G0009","[ES-W1B-W3,3GR] Wardah Eye Shadow B 3,3 gr (pc(s))","P","2021-07-02","2021-07-05","PTI: Jatake 1 - Kemas","MO/210023804","Confirmed","B","Pc(s)"
