"id","snfg_id/display_name","name","product_id/display_name","fro_sediaan","scheduled_start","scheduled_finished","picking_type_id/display_name","mo_id/display_name","state","fro_stream_line"
"__export__.mfg_snfg_line_2384_19682d3d","L-MLCL-OMG/H0034","L-MLCL-OMG/H0034","[80012] OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet 3.5 g","S","2022-06-20","2022-06-22","Jatake 4: JTK 4 - Kemas","VCI#MO/220001133","Confirmed","A"
"__export__.mfg_snfg_line_2385_f9557803","L-MLCM-OMG/H0015","L-MLCM-OMG/H0015","[80044] OMG Oh My Glam Matte Kiss Lip Cream 13 Latte 3.5 g","S","2022-06-14","2022-06-14","Jatake 4: JTK 4 - Kemas","VCI#MO/220001117","Confirmed","A"
"__export__.mfg_snfg_line_2386_56966ba6","L-MLCM-OMG/H0015","MO-L-MLCM-BULK/H0015","[L-MLCM-BULK] OMG Oh My Glam Matte Kiss Lip Cream 13","S","2022-06-10","2022-06-14","Jatake 4: JTK 4 - Olah","VCI#MO/220001109","Confirmed","A"
"__export__.mfg_snfg_line_2388_8bf916aa","L-MLCM-OMG/H0016","MO-L-MLCM-BULK/H0016","[L-MLCM-BULK] OMG Oh My Glam Matte Kiss Lip Cream 13","S","2022-06-10","2022-06-15","Jatake 4: JTK 4 - Olah","VCI#MO/220001108","Confirmed","A"
"__export__.mfg_snfg_line_2390_124788de","L-MLCN-OMG/H0013","MO-L-MLCN-BULK/H0015","[L-MLCN-BULK] OMG Oh My Glam Matte Kiss Lip Cream 14","S","2022-06-14","2022-06-16","Jatake 4: JTK 4 - Olah","VCI#MO/220001111","Confirmed","A"
"__export__.mfg_snfg_line_2392_dba1e73b","L-MLCN-OMG/H0014","MO-L-MLCN-BULK/H0016","[L-MLCN-BULK] OMG Oh My Glam Matte Kiss Lip Cream 14","S","2022-06-14","2022-06-17","Jatake 4: JTK 4 - Olah","VCI#MO/220001110","Confirmed","A"
"__export__.mfg_snfg_line_2399_7231fa96","M-MN2-OMG/H0011","M-MN2-OMG/H0011","[80074] OMG Oh My Glow Peach Glowing Cream 25 g","L","2022-06-14","2022-06-16","Jatake 4: JTK 4 - Kemas","VCI#MO/220001092","Confirmed","A"
"__export__.mfg_snfg_line_2401_f7eb3abd","FT-FT-OMG/H0023","FT-FT-OMG/H0023","[80028] OMG OH MY GLOW Peach Glowing Toner 100 ml","L","2022-06-18","2022-06-24","Jatake 4: JTK 4 - Kemas","VCI#MO/220001095","Confirmed","C"
"__export__.mfg_snfg_line_2402_38b579ca","FT-FT-OMG/H0024","FT-FT-OMG/H0024","[80028] OMG OH MY GLOW Peach Glowing Toner 100 ml","L","2022-06-20","2022-06-25","Jatake 4: JTK 4 - Kemas","VCI#MO/220001096","Confirmed","C"
"__export__.mfg_snfg_line_2439_79656a96","L-MLCI-OMG/H0047","L-MLCI-OMG/H0047","[80009] OMG OH MY GLAM Matte Kiss Lip Cream 09 Charm 3.5 g","S","2022-06-23","2022-06-24","Jatake 4: JTK 4 - Kemas","VCI#MO/220001136","Confirmed","A"
