DC,BRAND,CAT1,CAT4,ODOO CODE,CORPORATE CODE,BARCODE,ITEM NAME,GT PRICE,QOH,RESERVED (QTY),AVAILABLE (QTY),QOH (Rp),RESERVED (Rp),AVAILABLE (Rp),EXPIRED DATE
DC AMBON,MAKE OVER,LIP MAKE UP,MAKE OVER LIP CREAM MATTE,00984,"L-IMC006-MO6,5G",8993137693875,"MAKE OVER INTENSE MATTE LIP CREAM 006 COSMOPOLITAN 6,5 G (PC(S))",91891.9,1,0,1,91891.9,0,91891.9,
DC AMBON,MAKE OVER,FACE MAKE UP,MAKE OVER TWC,00900,TC-PC08-MO12G,8993137688222,MAKE OVER PERFECT COVER TWC 08 HONEY 12 G (PC(S)),137837.84,3,0,3,413513.52,0,413513.52,
DC AMBON,MAKE OVER,FACE MAKE UP,MAKE OVER POWERSTAY TWC,01589,TC-PMC21-MO12G,8993137699730,MAKE OVER POWERSTAY MATTE POWDER FOUNDATION C21 PINK IVORY 12 G,164864.87,5,0,5,824324.35,0,824324.35,
DC AMBON,PUTRI,HAIR MASK,PUTRI SPA HAIR MASK,00387,CB-P1RS-P720,8993137683883,PUTRI SPA SERIES RICH SPA SCALP & HAIR TREATMENT CREAM 720 ML (PC(S)),62792.8,16,0,16,1004684.8,0,1004684.8,
DC AMBON,PUTRI,HAIR STYLING,PUTRI WET JELLY,00400,WJ-P1WS-P100,8993137677318,PUTRI WET JELLY 100 ML (PC(S)),7747.75,2,0,2,15495.5,0,15495.5,
DC AMBON,WARDAH,LIP MAKE UP,WARDAH COLORFIT LIP MOUSSE WOMEN'S DAY SPECIAL EDITION,02997,L-CVM07LE-W,8993137713061,WARDAH COLORFIT VELVET MATTE LIP MOUSSE - WOMEN'S DAY SPECIAL EDITION 07 RED PIONEER 4 G,63513.52,1,0,1,63513.52,0,63513.52,
DC AMBON,WARDAH,LIP MAKE UP,WARDAH LIPSTICK LONG LASTING,01106,L-LL02-W2.3G,8993137694896,WARDAH LIPSTICK LONGLASTING 02 PINK SORBET 2.3 G (PC(S)),42342.35,4,0,4,169369.4,0,169369.4,
DC AMBON,WARDAH,LIP MAKE UP,WARDAH EXCLUSIVE LIPSTICK MOIST,02061,L-REMO35-W,8993137706360,WARDAH EXCLUSIVE MOIST LIPSTICK 35 GREAT BERRY 3.5 G,36936.94,6,0,6,221621.64,0,221621.64,
DC AMBON,WARDAH,BODY BUTTER,WARDAH SPA BODY BUTTER,00275,BUT-W0S-W100ML,8993137690065,WARDAH CREAMY BODY BUTTER WITH STRAWBERRY 100 ML (PC(S)),31981.99,2,0,2,63963.98,0,63963.98,
DC AMBON,WARDAH,FACE MAKE UP,WARDAH EVERYDAY CONCEALER,00125,"F-WODF-W4,5GR",8993137677776,"WARDAH DOUBLE FUNCTION KIT 4,5 GR",45945.95,1,0,1,45945.95,0,45945.95,
DC AMBON,WARDAH,BODY BUTTER,WARDAH SPA BODY BUTTER,00274,BUT-W0R-W100ML,8993137690737,WARDAH CREAMY BODY BUTTER WITH ROSE 100 ML (PC(S)),31981.99,1,0,1,31981.99,0,31981.99,
DC AMBON,WARDAH,FACE MOISTURIZER,WARDAH LIGHTENING NIGHT CREAM,01633,M-RLNC-W30G,8993137572194,WARDAH LIGHTENING NIGHT CREAM 30 G (PC(S)),39090.9,3,0,3,117272.7,0,117272.7,
DC AMBON,WARDAH,HAND CLEANSING,WARDAH NATURE DAILY ALOE HAND SANITIZER,02456,HS-AHHGELN2-W,8993137710848,WARDAH NATURE DAILY ALOE HYDRAMILD HAND GEL 50 ML,9909.91,352,0,352,3488288.32,0,3488288.32,
DC AMBON,WARDAH,FACE MAKE UP,WARDAH EXCLUSIVE REFILL CUSHION,02178,CUS-REFC03-W,8993137706278,WARDAH REFILL EXCLUSIVE FLAWLESS COVER CUSHION 03 SANDY BEIGE 15 G,85585.59,4,0,4,342342.36,0,342342.36,
DC AMBON,WARDAH,FACE MAKE UP,WARDAH EXCLUSIVE CUSHION,02027,CUS-EFC01-W,8993137705868,WARDAH EXCLUSIVE FLAWLESS COVER CUSHION 01 LIGHT BEIGE 15 G,120720.73,2,0,2,241441.46,0,241441.46,
DC AMBON,WARDAH,FACE MOISTURIZER,WARDAH NATURE DAILY CAPSULE MASK,02326,FM-NDAAB-W,8993137706667,WARDAH NATURE DAILY AMAZONIAN ACAI BERRY ANTIOXIDANT CAPSULE MASK 10 ML,18468.47,2,0,2,36936.94,0,36936.94,
DC AMBON,WARDAH,FACE CLEANSER,WARDAH LIGHTENING GENTLE WASH,01711,FW-RLGW-W60ML,8993137678759,WARDAH LIGHTENING GENTLE WASH 60 ML,13636.36,2,0,2,27272.72,0,27272.72,
DC AMBON,WARDAH,FACE MAKE UP,WARDAH EVERYDAY REFILL COMPACT POWDER,00212,B-W3RELCP04-W14G,8993137680264,WARDAH REFILL EVD LUM COMPACT POWDER 04 NATURAL 14 G (PC(S)),28378.38,54,0,54,1532432.52,0,1532432.52,
DC AMBON,WARDAH,LIP MAKE UP,WARDAH EXCLUSIVE LIP CREAM,01076,L-EMC10-W4GR,8993137694483,WARDAH EXCLUSIVE MATTE LIP CREAM 10 BERRY PRETTY 4 GR (PC(S)),54054.06,7,0,7,378378.42,0,378378.42,
DC AMBON,WARDAH,FACE MAKE UP,WARDAH EVERYDAY CREAMY FOUNDATION EXTRA COVER,00133,"F-W3ELCECN-W8,5G",8993137685450,"WARDAH EVD LUM CREAMY FOUNDATION EXTRA COVER 04 NATURAL 8,5 G (PC(S))",34234.24,6,0,6,205405.44,0,205405.44,
