Code,Product,Quantity on Hand,Reserved,Available
903,Wardah Eye Brow Brown,6,0,6
927,"Wardah Eye Shadow I 3,3 gr (pc(s))",120,0,120
928,"Wardah Eye Shadow J 3,3 gr (pc(s))",39,0,39
930,"Wardah Eye Shadow L 3,3 gr (pc(s))",45,0,45
938,"Wardah Eye Shadow F 3,3 gr (pc(s))",37,0,37
939,"Wardah Eye Shadow G 3,3 gr (pc(s))",105,0,105
941,"Wardah EyeXpert Eyeshadow Passionate 3,3 gr",2039,0,2039
942,Wardah Exclusive Matte Lip Cream 01 Red-dicted 4 gr (Pc(s)),7520,0,7520
943,Wardah Exclusive Matte Lip Cream 02 Fuschionately 4 gr (Pc(s)),1340,0,1340
944,Wardah Exclusive Matte Lip Cream 03 See You Latte 4 gr (Pc(s)),20516,0,20516
945,Wardah Exclusive Matte Lip Cream 04 Pink Me 4 gr (Pc(s)),144,0,144
946,Wardah Exclusive Matte Lip Cream 05 Speachless 4 gr (Pc(s)),27393,0,27393
947,Wardah Exclusive Matte Lip Cream 06 Feeling Red 4 gr (Pc(s)),14868,0,14868
948,Wardah Eye Liner Black,110734,0,110734
980,"MAKE OVER Intense Matte Lip Cream 002 Heiress 6,5 g (Pc(s))",346,0,346
981,"MAKE OVER Intense Matte Lip Cream 003 Secret 6,5 g (Pc(s))",192,0,192
982,"MAKE OVER Intense Matte Lip Cream 004 Vanity 6,5 g (Pc(s))",252,0,252
983,"MAKE OVER Intense Matte Lip Cream 005 Impulse 6,5 g (Pc(s))",69,0,69
985,"MAKE OVER Intense Matte Lip Cream 007 Scarlet 6,5 g (Pc(s))",5,0,5
987,MAKE OVER BO Single 10 Passion Pink 6 g (Pc(s)),279,0,279
1014,Emina Beauty Bliss BB Cream Caramel 20 ml (Pc(s)),2,0,2
1016,Emina Dirt-less In Sight Make UP Remover 50 ml (Pc(s)),178,0,178
1018,Emina Top Secret Eyebrow 2.9 gr (Pc(s)),93,0,93
1021,Emina Moist In a Bottle 50 ml (Pc(s)),6426,0,6426
1039,Emina Creamy Milk Cleansing Lotion 50 ml (Pc(s)),2634,0,2634
1041,Wardah C-Defense Face Mist 55 ml (pc(s)),5236,0,5236
1042,Emina Smoochies Lip Balm Cucumber Juice 3.7 gr (pc(s)),11,0,11
1045,Emina Green Tea Latte Face Mask 60 ml (Pc(s)),12,0,12
1051,MAKE OVER TWC Palette 3X12 g (Pc(s)),8,0,8
1057,Wardah Exclusive Matte Lip Cream 08 Pinkcredible 4 gr (Pc(S)),18540,0,18540
1065,Wardah Exclusive Matte Lip Cream 07 Hello Ruby 4 gr (Pc(s)),1032,0,1032
1075,Wardah Exclusive Matte Lip Cream 09 Mauve On 4 gr (Pc(S)),12600,0,12600
1076,Wardah Exclusive Matte Lip Cream 10 Berry Pretty 4 gr (Pc(s)),280,0,280
1077,Wardah Exclusive Matte Lip Cream 11 Oh So Nude 4 gr (Pc(s)),3168,0,3168
1078,Wardah Exclusive Matte Lip Cream 12 Plum It Up 4 gr (Pc(s)),24903,0,24903
1081,Emina Creamatte 02 Fuzzy Wuzzy 5.5 gr (Pc(s)),3448,0,3448
1100,Emina Creamatte 01 Chocolava 5.5 gr (Pc(s)),228,0,228
1101,Emina Creamatte 04 Frostbite 5.5 gr (Pc(s)),36,0,36
1103,Emina Creamatte 06 Jelly Bean 5.5 gr (Pc(s)),1788,0,1788
1104,Emina Creamatte 07 Tumbleweed 5.5 gr (Pc(s)),2532,0,2532
1105,Wardah Lipstick Longlasting 01 Fabulous Peach 2.3 g (Pc(s)),24,0,24
1107,Wardah Lipstick Longlasting 03 Simply Brown 2.3 g (Pc(s)),224,0,224
1112,Wardah Lipstick Longlasting 08 Red Velvet 2.3 g (Pc(s)),483,0,483
1113,Wardah Lipstick Longlasting 09 Vibrant Red 2.3 g (Pc(s)),389,0,389
1114,Wardah Lipstick Longlasting 10 Stylish Mocca 2.3 g (Pc(s)),337,0,337
1128,Wardah Intense Matte Lipstick 10 Miss Terracotta 2.3 g (Pc(s)),5,0,5
1129,Wardah Intense Matte Lipstick 11 Choco Town 2.3 g (Pc(s)),4,0,4
1131,MAKE OVER Ultra Hi-Matte Lipstick 001 King of Pink 2.3 g (Pc(s)),1,0,1
1135,MAKE OVER Ultra Hi-Matte Lipstick 005 Champagne Rose 2.3 g (Pc(s)),1,0,1
1136,MAKE OVER Ultra Hi-Matte Lipstick 006 Silky Blonde 2.3 g (Pc(s)),2,0,2
1142,MAKE OVER Ultra Hi-Matte Lipstick 012 Envy 2.3 g (Pc(s)),2,0,2
1150,Wardah C-Defense Energizing Creamy Wash 100 ml (Pc(s)),4476,0,4476
1204,MAKE OVER Velvet Mattifying Primer 20 ml,3640,0,3640
1211,Emina Brush Set (Set),5,0,5
1219,"MAKE OVER Liquid Eye Liner Black 1,7 ml (Pc(s))",9353,0,9353
1220,Wardah Exclusive Matte Lip Cream 13 Fruit Punch 4 gr (Pc(s)),30402,0,30402
1221,Wardah Exclusive Matte Lip Cream 14 My Honey Bee 4 gr (Pc(s)),84,0,84
1222,Wardah Exclusive Matte Lip Cream 15 Pinky Plumise 4 gr (Pc(s)),1,0,1
1223,Wardah Exclusive Matte Lip Cream 16 Heartbeet 4 gr (Pc(s)),36,0,36
1224,Wardah Exclusive Matte Lip Cream 17 Rosy Cheek 4 gr (Pc(s)),12665,0,12665
1225,Wardah Exclusive Matte Lip Cream 18 Saturdate Night 4 gr (Pc(s)),5325,0,5325
1226,Wardah C-Defense Energizing Creamy Wash 60 ml (Pc(s)),18330,0,18330
1251,Emina Apricot Jam Face Scrub 60 ml (Pc(s)),3118,0,3118
1255,"MAKE OVER Intense Matte Lip Cream 016 Pixie 6,5 g (Pc(s))",1920,0,1920
1256,"MAKE OVER Intense Matte Lip Cream 017 Savvy 6,5 g (Pc(s))",183,0,183
1258,"MAKE OVER Intense Matte Lip Cream 019 Vogue 6,5 g (Pc(s))",93,0,93
1262,MAKE OVER Eye Shadow Palette Smokey 10 g (Pc(s)),3,0,3
1266,Emina Grape Seed Olive Face Mask 60 ml (Pc(s)),27,0,27
1284,"MAKE OVER Intense Matte Lip Cream 012 Couture 6,5 g (Pc(s))",321,0,321
1407,Malaysia Wardah Nude Colours Eyeshadow Passionate 3.3 g (Pc(s)),120,0,120
1424,"MAKE OVER Intense Matte Lip Cream 010 Lux 6,5 g (Pc(s))",138,0,138
1439,Wardah Intense Matte Lipstick 16 Pecan Pie 2.3 g (Pc(s)),1,0,1
1442,Wardah Tester Intense Matte Lipstick 15 Out of Red! 2.3 g (Pc(s)),0,0,0
1443,Wardah Tester Intense Matte Lipstick 16 Pecan Pie 2.3 g (Pc(s)),0,0,0
1444,"MAKE OVER Intense Matte Lip Cream 009 Posh 6,5 g (Pc(s))",864,0,864
1445,"MAKE OVER Intense Matte Lip Cream 011 Pompous 6,5 g (Pc(s))",48,0,48
1463,MAKE OVER Micellar Water 185 ml,1260,0,1260
1491,"MAKE OVER Intense Matte Lip Cream 013 Dainty 6,5 g (Pc(s))",300,0,300
1492,"MAKE OVER Intense Matte Lip Cream 014 Coco 6,5 g (Pc(s))",195,0,195
1499,MAKE OVER Hyperblack Superstay Liner 1 g ,14648,0,14648
1507,MAKE OVER Brow Styler Eye Definer Mocha 0.13 g,8366,0,8366
1519,Wardah Perfect Bright Creamy Foam Brightening + Smoothing 100 ml (Pc(s)),27,0,27
