"#","Nomo","Snfg","Snfg Komponen","Posisi","Jenis Proses","Lanjutan","Datetime Write","Start","Due","Nama Fg","Process Status","Is Done","Koitem FG","No Batch","Actions"
"59","MO-WARN-RED3ASTDMS-BULK/H0018","WARN-RED3ASTDMS-BULK/H0019","WARN-RED3ASTDMS-BULK/H0019","PENGOLAHAN","OLAH 2","1","2022-04-20 10:00:00+07","2022-04-19","2022-04-20","Monokrom Serbuk Warna Merah 3 AS","Next Process","(not set)","WARN-RED3ASTDMS-BULK","DI20A",""
"60","MO-TWC-CLFTA-BULK/H0010","TWC-CLFTA-W/H0010","TWC-CLFTA-W/H0010","PENIMBANGAN","JADWAL BARU","1","2022-04-20 09:58:00+07","2022-04-19","2022-04-22","Wardah Colorfit Velvet Powder Foundation 11C Pink Fair 11 g","Processing","(not set)","TWC-CLFTA-W","(not set)",""
"61","(not set)","MY-LTMP06-EM/H0001","MY-LTMP06-EM/H0001","KEMAS_2","PACKING","1","2022-04-20 09:58:00+07","2022-04-20","2022-04-21","Malaysia Emina Magic Potion 06 Sassy 5.5 ml","Processing","(not set)","MY-LTMP06-EM","(not set)",""
"62","MO-TWC-CLFTA-BULK/H0009","TWC-CLFTA-W/H0009","TWC-CLFTA-W/H0009","PENIMBANGAN","JADWAL BARU","1","2022-04-20 09:58:00+07","2022-04-19","2022-04-22","Wardah Colorfit Velvet Powder Foundation 11C Pink Fair 11 g","Next Process","(not set)","TWC-CLFTA-W","(not set)",""
"63","MO-BO-W1C-02 BULK/H0009","BO-W1C-W4GR/H0012","BO-W1C-W4GR/H0012/02/01","PENGOLAHAN","OLAH 2","1","2022-04-20 09:57:00+07","2022-04-19","2022-04-25","Wardah Blush On C 4 gr","Processing","(not set)","BO-W1C-W4GR","(not set)",""
"64","(not set)","MY-RLREMA18-W/H0009","MY-RLREMA18-W/H0009","KEMAS_2","PACKING","1","2022-04-20 09:56:00+07","2022-04-20","2022-04-21","Malaysia Wardah Exclusive Matte Lipstick 18 Rosy Pink 3.5 g","Processing","(not set)","MY-RLREMA18-W","(not set)",""
"65","MO-M-LDCN-BULK/H0035","M-LDCN2-W/H0014","M-LDCN2-W/H0014","PENIMBANGAN","JADWAL BARU","1","2022-04-20 09:55:00+07","2022-04-20","2022-04-23","Wardah Lightening Day Cream Advanced Niacinamide 30 g","Processing","(not set)","M-LDCN2-W","(not set)",""
"66","(not set)","MY-BOCLPCS-EM/H0001","MY-BOCLPCS-EM/H0001","KEMAS_2","PACKING","1","2022-04-20 09:55:00+07","2022-04-20","2022-04-21","Malaysia Emina Cheek Lit Pressed Blush Sugarcane 3.5 gr (Pc(s))","Processing","(not set)","MY-BOCLPCS-EM","(not set)",""
"67","MO-L-CVM07-BULK/H0006","L-CVM07-W/H0006","L-CVM07-W/H0006","QC BULK","MASUK SPESIFIKASI","1","2022-04-20 09:52:15+07","2022-04-19","2022-04-26","Wardah Colorfit Velvet Matte Lip Mousse 07 Red Pioneer 4 g","Next Process","Done","L-CVM07-W","DI19A",""
"68","MO-L-IMC007-BULK/H0009","L-IMC007-MO6,5G/H0009","L-IMC007-MO6,5G/H0009","PENGOLAHAN","OLAH PREMIX","1","2022-04-20 09:52:00+07","2022-04-19","2022-04-21","MAKE OVER Intense Matte Lip Cream 007 Scarlet 6,5 g (Pc(s))","Processing","(not set)","L-IMC007-MO6,5G","(not set)",""
"69","(not set)","MY-BOCLPPMCB-EM/H0001","MY-BOCLPPMCB-EM/H0001","QC FG","JADWAL BARU","1","2022-04-20 09:51:22+07","2022-04-20","2022-04-20","Malaysia Emina Cheek Lit Pressed Blush Cherry Blossoms 3.5 gr (Pc(s))","Next Process","Done","MY-BOCLPPMCB-EM","(not set)",""
"70","MO-BO-CLPPB-BULK/H0007","BO-CLPPB-EM3.5GR/H0009","BO-CLPPB-RP-EM3,5GR/H0007","KEMAS_1","PRESS","1","2022-04-20 09:48:00+07","2022-04-18","2022-04-22","Emina Cheek Lit Pressed Blush Bittersweet 3.5 gr (Pc(s))","Processing","(not set)","BO-CLPPB-EM3.5GR","DI19A",""
"71","MO-SS-SBAT30-BULK/H0036","SS-SBAT30-EM/H0033","SS-SBAT30-EM/H0033","KEMAS_2","FILLING-PACKING_INLINE","4","2022-04-20 09:46:00+07","2022-04-19","2022-04-21","Emina Sun Battle SPF 30 PA+++ 60 ml","Processing","(not set)","SS-SBAT30-EM","DI19A",""
"72","(not set)","MY-LTMP05-EM/H0001","MY-LTMP05-EM/H0001","QC FG","JADWAL BARU","1","2022-04-20 09:42:40+07","2022-04-20","2022-04-20","Malaysia Emina Magic Potion 05 Summer 5.5 ml","Next Process","Done","MY-LTMP05-EM","(not set)",""
"73","MO-FW-LWF-BULK/H0061","FW-LWFN2-W/H0040","FW-LWFN2-W/H0040","PENGOLAHAN","OLAH 1","1","2022-04-20 09:42:00+07","2022-04-19","2022-04-21","Wardah Lightening Whip Facial Foam 100 ml","Processing","(not set)","FW-LWFN2-W","(not set)",""
"74","MO-FW-PBCFLO-BULK/H0066","MY-RFWPBCFBO-W/H0007","MY-RFWPBCFBO-W/H0007","PENGOLAHAN","OLAH 2","1","2022-04-20 09:41:00+07","2022-04-19","2022-04-28","Malaysia Wardah Perfect Bright Creamy Foam Brightening + Oil Control 100 ml","Processing","(not set)","MY-RFWPBCFBO-W","(not set)",""
